,"(('Pumpspeicherkraftwerk', 'None'), 'storage_content')","(('Pumpspeicherkraftwerk', 'Strom'), 'flow')","(('Strom', 'Pumpspeicherkraftwerk'), 'flow')"
2030-01-01 00:00:00,"1152,0","0,0","0,0"
2030-01-01 01:00:00,"1152,0","0,0","0,0"
2030-01-01 02:00:00,"1152,0","0,0","0,0"
2030-01-01 03:00:00,"1152,0","0,0","0,0"
2030-01-01 04:00:00,"1152,0","0,0","0,0"
2030-01-01 05:00:00,"1152,0","0,0","0,0"
2030-01-01 06:00:00,"1152,0","0,0","0,0"
2030-01-01 07:00:00,"1152,0","0,0","0,0"
2030-01-01 08:00:00,"1152,0","0,0","0,0"
2030-01-01 09:00:00,"1224,9645406304608","0,0","72,96454063046076"
2030-01-01 10:00:00,"1224,9645406304608","0,0","0,0"
2030-01-01 11:00:00,"1224,9645406304608","0,0","0,0"
2030-01-01 12:00:00,"1440,0","0,0","215,03545936953913"
2030-01-01 13:00:00,"1728,0","0,0","288,0"
2030-01-01 14:00:00,"2016,0","0,0","288,0"
2030-01-01 15:00:00,"2304,0","0,0","288,0"
2030-01-01 16:00:00,"2304,0","0,0","0,0"
2030-01-01 17:00:00,"2304,0","0,0","0,0"
2030-01-01 18:00:00,"2188,2148491642065","92,62812066863466","0,0"
2030-01-01 19:00:00,"2188,2148491642065","0,0","0,0"
2030-01-01 20:00:00,"2032,3675310146853","124,67785451961697","0,0"
2030-01-01 21:00:00,"1958,4862279017564","59,10504249034312","0,0"
2030-01-01 22:00:00,"1706,405912263455","201,66425251064106","0,0"
2030-01-01 23:00:00,"1706,405912263455","0,0","0,0"
2030-01-02 00:00:00,"1671,7322886688075","27,73889887571812","0,0"
2030-01-02 01:00:00,"1671,7322886688075","0,0","0,0"
2030-01-02 02:00:00,"1728,0","0,0","56,26771133119246"
2030-01-02 03:00:00,"2016,0","0,0","288,0"
2030-01-02 04:00:00,"2304,0","0,0","288,0"
2030-01-02 05:00:00,"2304,0","0,0","0,0"
2030-01-02 06:00:00,"2304,0","0,0","0,0"
2030-01-02 07:00:00,"2304,0","0,0","0,0"
2030-01-02 08:00:00,"2304,0","0,0","0,0"
2030-01-02 09:00:00,"2304,0","0,0","0,0"
2030-01-02 10:00:00,"2304,0","0,0","0,0"
2030-01-02 11:00:00,"2304,0","0,0","0,0"
2030-01-02 12:00:00,"2304,0","0,0","0,0"
2030-01-02 13:00:00,"2304,0","0,0","0,0"
2030-01-02 14:00:00,"2304,0","0,0","0,0"
2030-01-02 15:00:00,"2304,0","0,0","0,0"
2030-01-02 16:00:00,"2262,679491001062","33,05640719915027","0,0"
2030-01-02 17:00:00,"2109,8543985959973","122,26007392405188","0,0"
2030-01-02 18:00:00,"1749,8543985959973","288,0","0,0"
2030-01-02 19:00:00,"1389,8543985959973","288,0","0,0"
2030-01-02 20:00:00,"1029,8543985959973","288,0","0,0"
2030-01-02 21:00:00,"669,8543985959973","288,0","0,0"
2030-01-02 22:00:00,"669,8543985959973","0,0","0,0"
2030-01-02 23:00:00,"669,8543985959973","0,0","0,0"
2030-01-03 00:00:00,"669,8543985959973","0,0","0,0"
2030-01-03 01:00:00,"669,8543985959973","0,0","0,0"
2030-01-03 02:00:00,"669,8543985959973","0,0","0,0"
2030-01-03 03:00:00,"669,8543985959973","0,0","0,0"
2030-01-03 04:00:00,"669,8543985959973","0,0","0,0"
2030-01-03 05:00:00,"669,8543985959973","0,0","0,0"
2030-01-03 06:00:00,"360,0","247,88351887679784","0,0"
2030-01-03 07:00:00,"0,0","288,0","0,0"
2030-01-03 08:00:00,"0,0","0,0","0,0"
